work_id,size_id,sale_price,regular_price
160228,24,85,85
160236,24,85,85
160244,24,85,85
160252,24,85,85
160260,24,75,75
160268,24,85,85
125752,30,95,95
125818,30,95,95
23448,20,75,75
125763,30,95,95
125774,30,95,95
125785,30,95,95
125796,3629,395,675
125807,3024,305,535
24532,3624,315,565
124470,30,95,95
124479,3624,315,565
124488,3624,315,565
124497,3624,315,565
124506,3624,315,565
124515,30,95,95
124524,30,95,95
124533,30,95,95
124542,3624,315,565
124551,3624,315,565
124560,3624,315,565
124569,3624,315,565
124578,3624,315,565
124587,3624,315,565
135881,30,95,95
135892,2430,305,545
135903,2430,305,545
135914,2430,305,545
135925,2430,305,545
135936,2430,305,545
135947,30,95,95
135958,2430,305,545
31780,36,10,125
135969,2430,305,545
31778,2430,305,545
135980,2430,305,545
147731,1620,235,355
147742,1620,215,355
147753,1620,235,355
147764,1620,215,355
147815,3629,385,625
147797,1624,235,395
147806,2436,315,555
147775,1620,215,355
147786,1620,215,355
24536,1620,215,365
122171,1620,215,365
122182,1620,215,365
122193,1620,215,365
122204,1620,215,365
122215,1624,235,385
122224,2436,345,545
194065,5468,785,1495
194074,36,125,125
194148,40,145,145
194130,5468,875,1495
194121,36,125,125
194083,5468,785,1495
194092,5468,785,1495
194101,36,125,125
194155,36,125,125
194110,5468,785,1495
194162,40,145,145
194169,36,125,125
194176,40,145,145
194181,40,145,145
194139,36,125,125
160324,4860,655,1235
160332,4860,655,1235
24025,24,85,85
24029,20,75,75
24031,20,75,75
24033,48,165,165
24035,30,95,95
24037,3024,305,535
24039,3624,335,595
24041,20,75,75
24043,30,95,95
24047,3624,335,595
24049,20,75,75
24051,30,95,95
24053,30,95,95
24059,36,125,125
24061,30,95,95
24064,36,125,125
24066,36,125,125
24068,30,95,95
24070,24,85,85
164850,36,125,125
24072,24,85,85
198873,3629,375,675
24074,24,85,85
24078,30,95,95
204794,36,125,125
164862,36,125,125
198863,3624,335,595
24084,30,95,95
29914,1620,215,355
126089,1620,215,355
126219,2016,215,355
126208,2016,215,355
29916,2016,215,355
126109,1620,215,355
126164,2016,215,355
126175,2016,215,355
126186,2016,215,355
126285,2020,245,405
126230,2016,215,355
29918,2016,215,355
29920,2016,215,355
126294,2020,245,405
126120,1620,215,355
126241,2016,215,355
29922,2016,215,355
29924,2416,235,395
126263,2016,215,355
126252,2016,215,355
126131,1620,215,355
126197,2016,215,355
126153,1620,215,355
126274,2016,215,355
126142,1620,215,355
5093,3624,315,555
5095,30,95,95
5097,30,95,95
5099,24,85,85
5101,3624,315,555
5103,3624,315,555
5105,24,85,85
5109,3624,315,555
185353,2436,315,555
5111,3624,315,555
5115,3624,315,555
5113,3020,275,475
5117,3624,315,555
5119,3624,315,555
5121,3020,275,475
185266,3624,315,555
5125,2936,355,635
5127,2936,355,635
5129,3629,355,635
185308,3629,355,635
5133,3624,315,555
5135,36,125,125
5137,3624,315,555
185317,3629,355,635
5141,3624,315,555
5143,36,125,125
5155,24,85,85
5161,2936,355,635
5163,2936,355,635
5221,24,85,85
126522,2016,195,315
126533,2016,195,315
126307,2016,195,315
126324,2016,195,315
129073,1620,195,315
126335,2016,195,315
128992,2416,215,355
126346,2016,195,315
128791,2416,215,355
126357,2016,195,315
128800,2416,215,355
126401,2016,195,315
126368,2016,195,315
126379,2016,195,315
126390,2016,195,315
126434,2016,195,315
126423,2016,195,315
126489,2016,195,315
126500,2016,195,315
128836,2416,215,355
126511,2016,195,315
128307,2016,195,315
128615,2016,195,315
126555,2016,195,315
126566,2016,195,315
127545,2016,195,315
126577,2016,195,315
128461,2016,195,315
128472,2016,195,315
128483,2016,195,315
25861,30,95,95
25863,30,95,95
25869,30,95,95
25871,30,95,95
25873,30,95,95
25875,2024,265,465
25879,2024,265,465
25882,2024,265,465
25884,30,95,95
25888,2024,265,465
25890,20,75,75
25892,30,95,95
25894,20,75,75
25900,2030,295,525
25902,2024,265,465
25904,36,125,125
25906,24,85,85
25908,24,85,85
25910,2024,265,465
25912,2024,265,465
25914,20,75,75
23540,2024,245,425
23542,3624,345,565
23544,2436,315,565
23546,2430,285,505
23548,2436,315,565
23550,2936,355,645
23552,2024,245,425
23554,2024,245,425
23556,2436,315,565
23558,3624,335,565
23560,2436,335,565
23562,2936,385,645
23564,2024,245,425
29948,2020,245,415
29950,2020,245,415
29952,2016,215,355
29954,2020,245,415
29956,1620,215,355
29958,2016,215,355
29960,1624,235,395
29962,2020,245,415
29964,1624,235,395
28801,3624,315,565
28803,3024,315,505
28805,2430,285,505
28807,2430,285,505
22578,1620,215,355
22579,1620,215,355
22580,2016,215,355
22581,2016,215,355
22582,1620,215,355
22583,1624,235,395
22584,2016,215,355
22585,2016,215,355
195399,1620,215,355
22586,1620,215,355
22587,1620,215,355
22588,1620,215,355
22589,1620,215,355
22590,1620,215,355
195446,40,145,145
22591,1620,215,355
22592,1620,215,355
22593,2416,235,395
22594,1620,215,355
22595,1620,215,355
195410,1620,215,355
22596,1620,215,355
22597,2016,215,355
22598,2016,215,355
22599,1620,215,355
22600,1620,215,355
22601,1620,215,355
22602,1620,215,355
22603,1620,215,355
195421,1620,215,355
6877,2016,195,315
209013,30,95,95
208485,30,225,375
6713,2416,215,355
6715,2016,195,315
6879,2016,195,315
6717,2416,215,355
6719,2016,195,315
6723,2016,195,315
208575,2016,195,315
